3www,Who-What-Where,Who-What-Where | 3www
admn,Admin,Admin | admn
agri,Agriculture,Agriculture | agri
cccm,Camp Coordination / Management,Camp Coordination / Management | cccm
educ,Education,Education | educ
elev,Elevation,Elevation | elev
envi,Environmental aspects,Environmental aspects | envi
heal,Health ,Health  | heal
imgy,Imagery,Imagery | imgy
land,LandUse,LandUse | land
logs,Logistics,Logistics | logs
ma,MapAction Geoprocessing data,MapAction Geoprocessing data | ma
nutr,Nutrition ,Nutrition  | nutr
phys,Physical,Physical | phys
pois,Points of Interest,Points of Interest | pois
popu,Population,Population | popu
prot,Security Safety and Protection,Security Safety and Protection | prot
rcvy,Early Recovery ,Early Recovery  | rcvy
scan,Map_scans,Map_scans | scan
shel,Emergency Shelter,Emergency Shelter | shel
situ,Situation and Damage,Situation and Damage | situ
stle,Settlements,Settlements | stle
telc,Emergency Telecommunications,Emergency Telecommunications | telc
tran,Transport,Transport | tran
usar,Search and Rescue / evacuation planning,Search and Rescue / evacuation planning | usar
util,Utilities,Utilities | util
wash,Water Sanitation and Hygiene,Water Sanitation and Hygiene | wash
